Path,Size_Bytes,Type,Description,Recommended_Action
_backups/20260823_2012_portability/lib/_backups_voice_tuning/audiobook_studio_widget.dart.bak,97177,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
_backups/20260823_2012_portability/lib/_backups_voice_tuning/settings_service.dart.bak,47411,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
_backups/20260823_2012_portability/lib/_backups_voice_tuning/tts_service.dart.bak,42142,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
_backups/lib_backups_migrated/_backups_voice_tuning/audiobook_models.dart.bak,11481,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
_backups/lib_backups_migrated/_backups_voice_tuning/audiobook_service.dart.bak,45606,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
_backups/lib_backups_migrated/_backups_voice_tuning/audiobook_studio_widget.dart.bak,97177,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
_backups/lib_backups_migrated/_backups_voice_tuning/settings_service.dart.bak,47411,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
_backups/lib_backups_migrated/_backups_voice_tuning/tts_service.dart.bak,42142,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
scratch/all_139_summary.txt,56966,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/all_85_details.txt,38546,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/analyze_cred_matches.py,1533,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/analyze_cred_matches.py.metadata.json,109,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/analyze_manifest_dups.py,2692,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/analyze_manifest_dups.py.metadata.json,145,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/analyze_testability.py,947,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/analyze_testability.py.metadata.json,103,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/apply_c83_final_overlay.py,2178,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/apply_c83_final_overlay.py.metadata.json,120,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/apply_c83_overlay.py,2126,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/apply_c83_overlay.py.metadata.json,171,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/apply_ext01_cleanroom.py,16391,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/apply_ext01_cleanroom.py.metadata.json,114,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_c83_ext02_p1.py,3440,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_c83_ext02_p1.py.metadata.json,150,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_c83_fast.py,3523,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_c83_fast.py.metadata.json,143,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_c83_iofinal.py,2583,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_c83_iofinal.py.metadata.json,125,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_c84.py,3227,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_c84.py.metadata.json,154,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_c84_closure.py,3957,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_c84_closure.py.metadata.json,247,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_c84_final.py,3296,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_c84_final.py.metadata.json,141,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_c85_p4.py,3464,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_c85_p4.py.metadata.json,188,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_candidate_ext03.py,5167,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_candidate_ext03.py.metadata.json,150,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_jarvisol_v1.py,5498,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/assemble_jarvisol_v1.py.metadata.json,266,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/aua004_test.dart,2836,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/aua004_test.dart.metadata.json,111,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_audio_and_assets.py,1325,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_audio_and_assets.py.metadata.json,182,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_build_vs_c85.py,1111,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_build_vs_c85.py.metadata.json,217,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_c6.py,15314,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_c6.py.metadata.json,132,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_c6_final.py,8271,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_c6_final.py.metadata.json,123,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_c6_final2.py,8304,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_c6_final2.py.metadata.json,100,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_c85_prefs.py,437,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_c85_prefs.py.metadata.json,238,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_candidate_size.py,2305,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_candidate_size.py.metadata.json,133,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_duplicates_50mb.py,1712,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_duplicates_50mb.py.metadata.json,141,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_p4_read_only.py,5131,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_p4_read_only.py.metadata.json,154,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_prefs.py,5772,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_prefs.py.metadata.json,121,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_remote_metadata_and_range.py,12792,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/audit_remote_metadata_and_range.py.metadata.json,173,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/benchmark_er8_full.py,9568,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/benchmark_er9_full.py,19810,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/benchmark_er9_full.py.metadata.json,192,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/benchmark_http.py,10100,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/benchmark_http.py.metadata.json,170,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/benchmark_report.json,8453,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/benchmark_report_final.json,51215,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/benchmark_suite.py,11015,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/benchmark_suite.py.metadata.json,183,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/BRAIN-CLEANUP-DRYRUN.csv,65499,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/BRAIN-CLEANUP-REPORT.md,5338,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/BRAIN-CLEANUP-RESULT.csv,1211,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_all_book_artifacts.py,78024,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_all_book_artifacts.py.metadata.json,160,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_all_corr07anchor_evidence.py,21431,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_all_corr07anchor_evidence.py.metadata.json,164,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_all_glint_artifacts.py,34759,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_all_glint_artifacts.py.metadata.json,167,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_all_mem_artifacts.py,60487,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_all_mem_artifacts.py.metadata.json,130,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_all_restore_artifacts.py,53496,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_all_restore_artifacts.py.metadata.json,178,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_all_tts_artifacts.py,62241,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_all_tts_artifacts.py.metadata.json,168,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_asr002_evidence.py,27865,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_asr002_evidence.py.metadata.json,150,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_c2_artifacts.py,17942,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_c2_artifacts.py.metadata.json,141,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_c2_final_artifacts.py,7335,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_c2_final_artifacts.py.metadata.json,119,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_c2_vbs_fix_artifacts.py,7128,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_c2_vbs_fix_artifacts.py.metadata.json,131,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_canonical_timeline_supplement.py,31781,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_canonical_timeline_supplement.py.metadata.json,208,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_cleanup_check.py,20413,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_cleanup_check.py.metadata.json,181,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_corr03int_all.py,21235,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_corr03int_all.py.metadata.json,115,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_corr03_evidence.py,23171,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_corrmap_artifacts.py,41659,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_corrmap_artifacts.py.metadata.json,157,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_coverage_artifacts.py,78429,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_coverage_artifacts.py.metadata.json,128,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_coverage_artifacts_v11.py,73700,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_coverage_artifacts_v11.py.metadata.json,135,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_coverage_artifacts_v12.py,108380,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_coverage_artifacts_v12.py.metadata.json,174,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_ext01_micro_manifests.py,9338,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_ext01_micro_manifests.py.metadata.json,161,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_freeze_gate_manifests.py,16127,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_freeze_gate_manifests.py.metadata.json,145,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_g01_baseline.py,8675,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_g01_baseline.py.metadata.json,160,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_g3_harness.py,42984,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_g3_harness.py.metadata.json,159,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_mcp_advanced_evidence.py,40893,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_mcp_advanced_evidence.py.metadata.json,154,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_micsup_evidence.py,46474,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_micsup_evidence.py.metadata.json,202,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_mic_reset_evidence.py,32476,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_mic_reset_evidence.py.metadata.json,142,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_modsup_evidence.py,33400,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_modsup_evidence.py.metadata.json,154,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_audio_canonical_evidence.py,41908,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_audio_canonical_evidence.py.metadata.json,272,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_audio_offline_evidence.py,51128,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_audio_offline_evidence.py.metadata.json,157,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_doc_actions_evidence.py,65776,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_doc_actions_evidence.py.metadata.json,140,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_doc_io_evidence.py,57150,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_doc_io_evidence.py.metadata.json,132,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_doc_io_supplement_evidence.py,36392,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_doc_io_supplement_evidence.py.metadata.json,141,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_llm_prompts_evidence.py,72780,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_llm_prompts_evidence.py.metadata.json,127,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_models_litert_evidence.py,66269,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_models_litert_evidence.py.metadata.json,164,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_portability_ab_evidence.py,42338,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_portability_ab_evidence.py.metadata.json,254,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_portability_ab_supplement.py,38762,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_portability_ab_supplement.py.metadata.json,149,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_system_ui_evidence.py,41296,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_system_ui_evidence.py.metadata.json,154,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_system_ui_supplement_evidence.py,25934,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_target_system_ui_supplement_evidence.py.metadata.json,156,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_vs_c85_fast.py,5247,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/build_vs_c85_fast.py.metadata.json,138,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/C81_VS_C82_FULL_PHYSICAL_DIFF.csv,2882737,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/C81_VS_C82_FULL_PHYSICAL_DIFF_REPAIRED.csv,2882877,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/C82-APP001-RUNTIME-VALIDATION.csv,334,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/C82_VS_C83_FINAL_PHYSICAL_DIFF.csv,3010914,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/C82_VS_C83_IOFINAL_PHYSICAL_DIFF.csv,3010914,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/C82_VS_C83_PHYSICAL_DIFF.csv,1352602,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/C83-APP001-RUNTIME-VALIDATION.csv,358,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/C83_CREDENTIAL_SCAN_REDACTED.csv,43,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/C83_IMAGE_AND_LITERT_HASHES.csv,3616,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/C83_IOFINAL_VS_C84_P2_CLOSURE_FULL_PHYSICAL_DIFF_SUMMARY.csv,628,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/C83_IOFINAL_VS_C84_P2_CLOSURE_FULL_PHYSICAL_DIFF_SUMMARY.csv.metadata.json,144,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/C83_IOFINAL_VS_C84_P2_PHYSICAL_DIFF.csv,803,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/c84_final_models_manifest.json,2114,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/c84_models_manifest.json,2114,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/camp_book_prompt.txt,4310,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/camp_img_req.txt,14471,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/camp_tts_prompt.txt,17917,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_advisor_and_prefs.py,741,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_advisor_and_prefs.py.metadata.json,132,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_civitai_hashes.py,1540,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_civitai_hashes.py.metadata.json,116,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_distributable_credentials_general.py,5009,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_distributable_credentials_general.py.metadata.json,158,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_gpustack.py,888,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_gpustack.py.metadata.json,110,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_gpustack_trees.py,1470,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_gpustack_trees.py.metadata.json,102,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_lengths.py,1131,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_lengths.py.metadata.json,123,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_litert_cache.py,427,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_litert_cache.py.metadata.json,109,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_llm_service_defaults.py,387,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_llm_service_defaults.py.metadata.json,181,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_manifest.py,661,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_manifest.py.metadata.json,143,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_missing_evidence.py,2804,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_missing_evidence.py.metadata.json,150,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_no_credentials.py,3912,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_no_credentials.py.metadata.json,142,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_protected_baselines.py,592,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_protected_baselines.py.metadata.json,110,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_qual_paths.py,1305,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/check_qual_paths.py.metadata.json,144,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
